LATITUDE,LONGITUDE,ALTITUDE
54.0,-124.4,783.0
53.8,-124.5,868.0
54.1,-124.6,767.0
53.5,-125.1,944.0
54.1,-124.7,676.0
54.6,-124.2,754.0
54.7,-124.7,756.0
55.1,-125.5,859.0
55.7,-125.4,1590.0
55.0,-124.4,1215.0
53.4,-126.7,1065.0
54.0,-125.7,877.0
53.5,-125.6,1094.0
53.2,-126.6,1207.0
54.5,-125.6,711.0
54.1,-125.8,899.0
54.1,-125.4,736.0
54.5,-126.8,754.0
54.4,-126.3,838.0
55.3,-126.4,816.0
54.3,-126.4,1197.0
55.1,-126.3,760.0
54.9,-126.6,792.0
54.9,-126.5,970.0
55.1,-126.2,1011.0
53.4,-132.0,68.0
49.6,-121.4,703.0
49.1,-121.8,725.0
49.1,-122.0,22.0
49.5,-122.0,338.0
49.1,-121.5,536.0
49.4,-123.0,348.0
49.2,-123.1,5.0
49.8,-121.4,1088.0
49.5,-121.8,11.0
49.3,-121.3,1538.0
49.2,-121.2,1639.0
49.1,-121.2,1098.0
49.7,-121.2,1327.0
49.7,-121.5,1631.0
49.4,-121.2,674.0
49.1,-121.6,640.0
49.4,-121.5,980.0
49.1,-120.8,1714.0
49.1,-121.3,1325.0
49.3,-121.7,17.0
49.4,-123.3,0.0
55.0,-124.5,1237.0
54.5,-124.8,966.0
55.1,-124.8,1307.0
55.1,-125.0,980.0
55.0,-125.3,846.0
55.5,-126.1,827.0
55.3,-125.7,1146.0
55.4,-125.8,1200.0
54.5,-123.6,801.0
54.5,-123.7,780.0
55.1,-125.4,1150.0
54.8,-124.7,788.0
55.7,-126.3,797.0
54.8,-124.6,777.0
54.9,-125.1,779.0
54.7,-124.4,766.0
54.3,-123.8,842.0
55.3,-125.2,948.0
54.8,-123.9,907.0
54.8,-125.1,945.0
55.1,-125.2,1021.0
55.2,-124.4,884.0
54.1,-126.7,1019.0
53.7,-127.0,860.0
55.0,-125.7,1354.0
53.9,-127.1,943.0
53.8,-126.8,1037.0
53.9,-126.7,1325.0
54.3,-127.0,932.0
54.5,-126.4,757.0
54.4,-126.9,953.0
53.9,-126.8,1270.0
54.6,-126.2,1261.0
55.2,-126.2,983.0
54.5,-126.6,1016.0
